run_id,model,study,condition,outcome,frame,P_post,GR_post,Reckless,Negligent,Blame,Punish
5ba35b99,gpt4o,1,traffic_good,neutral,juror,5.0,95.0,2.0,2.0,1,1
5ba35b99,gpt4o,1,flood_good,neutral,juror,10.0,85.0,1,2.0,2.0,1
5ba35b99,gpt4o,1,flood_bad,bad,juror,40.0,60.0,5.0,6.0,6.0,5.0
5ba35b99,gpt4o,1,flood_bad,bad,juror,25.0,60.0,5.0,6.0,5.0,4.0
5ba35b99,gpt4o,1,traffic_bad,bad,juror,10.0,90.0,5.0,6.0,5.0,4.0
5ba35b99,gpt4o,1,flood_good,neutral,juror,10.0,85.0,2.0,2.0,2.0,1
5ba35b99,gpt4o,1,traffic_good,neutral,juror,5.0,95.0,2.0,2.0,2.0,1
5ba35b99,gpt4o,1,flood_bad,bad,juror,30.0,65.0,4.0,6.0,5.0,4.0
5ba35b99,gpt4o,1,flood_good,neutral,juror,10.0,90.0,1,2.0,1,1
5ba35b99,gpt4o,1,warehouse_fire_good,neutral,juror,5.0,85.0,3.0,4.0,3.0,2.0
5ba35b99,gpt4o,1,traffic_good,neutral,juror,10.0,90.0,2.0,2.0,1,1
5ba35b99,gpt4o,1,warehouse_fire_bad,bad,juror,20.0,70.0,6.0,7.0,6.0,5.0
5ba35b99,gpt4o,1,traffic_bad,bad,juror,5.0,90.0,5.0,6.0,5.0,3.0
5ba35b99,gpt4o,1,warehouse_fire_bad,bad,juror,10.0,70.0,6.0,7.0,6.0,5.0
5ba35b99,gpt4o,1,ski_resort_avalanche_good,neutral,juror,10.0,80.0,2.0,3.0,2.0,1
5ba35b99,gpt4o,1,warehouse_fire_bad,bad,juror,10.0,75.0,6.0,7.0,6.0,5.0
5ba35b99,gpt4o,1,warehouse_fire_good,neutral,juror,10.0,80.0,2.0,3.0,2.0,1
5ba35b99,gpt4o,1,warehouse_fire_good,neutral,juror,10.0,80.0,3.0,4.0,3.0,2.0
5ba35b99,gpt4o,1,traffic_bad,bad,juror,10.0,90.0,6.0,5.0,5.0,4.0
5ba35b99,gpt4o,1,ski_resort_avalanche_good,neutral,juror,10.0,90.0,2.0,2.0,2.0,1
5ba35b99,gpt4o,1,ski_resort_avalanche_bad,bad,juror,20.0,70.0,5.0,6.0,6.0,5.0
5ba35b99,gpt4o,1,hospital_backup_generator_good,neutral,juror,10.0,85.0,2.0,3.0,2.0,1
5ba35b99,gpt4o,1,ski_resort_avalanche_bad,bad,juror,10.0,75.0,5.0,6.0,6.0,5.0
5ba35b99,gpt4o,1,ski_resort_avalanche_good,neutral,juror,10.0,80.0,2.0,3.0,2.0,1
5ba35b99,gpt4o,1,hospital_backup_generator_good,neutral,juror,10.0,85.0,2.0,2.0,2.0,1
5ba35b99,gpt4o,1,ski_resort_avalanche_bad,bad,juror,30.0,70.0,5.0,6.0,5.0,4.0
5ba35b99,gpt4o,1,hospital_backup_generator_good,neutral,juror,10.0,85.0,2.0,3.0,2.0,1
5ba35b99,gpt4o,1,hospital_backup_generator_bad,bad,juror,20.0,70.0,5.0,6.0,6.0,5.0
5ba35b99,gpt4o,1,hospital_backup_generator_bad,bad,juror,30.0,75.0,5.0,6.0,6.0,5.0
5ba35b99,gpt4o,1,datacenter_cooling_bad,bad,juror,30.0,70.0,4.0,5.0,5.0,3.0
5ba35b99,gpt4o,1,hospital_backup_generator_bad,bad,juror,30.0,60.0,6.0,7.0,6.0,5.0
5ba35b99,gpt4o,1,datacenter_cooling_bad,bad,juror,40.0,70.0,4.0,5.0,5.0,4.0
5ba35b99,gpt4o,1,datacenter_cooling_good,neutral,juror,10.0,85.0,2.0,2.0,2.0,1
5ba35b99,gpt4o,1,datacenter_cooling_good,neutral,juror,10.0,85.0,2.0,3.0,2.0,1
5ba35b99,gpt4o,1,swimming_pool_drain_good,neutral,juror,10.0,70.0,3.0,5.0,4.0,2.0
5ba35b99,gpt4o,1,datacenter_cooling_bad,bad,juror,30.0,70.0,4.0,5.0,5.0,4.0
